id	uuid	filename	href	default_img	product_id	created_at	updated_at
44	f431961e-2e52-11eb-bc79-275aa1ef5ea7	smiledrive-multipurpose-car-holder-kit-use-on-windshield-original-imae8y4et45393vw.jpeg	http://img6a.flixcart.com/image/car-cradle/h/v/d/smiledrive-multipurpose-car-holder-kit-use-on-windshield-original-imae8y4et45393vw.jpeg	f	12	2020-11-24 12:45:38.3654+00	NULL
45	f431961f-2e52-11eb-bc79-275aa1ef5ea7	fonokase-car-mount-original-imae8xt7fpgru7ug.jpeg	http://img5a.flixcart.com/image/car-cradle/mount/z/t/b/fonokase-car-mount-original-imae8xt7fpgru7ug.jpeg	t	13	2020-11-24 12:45:38.3654+00	NULL
46	f4319620-2e52-11eb-bc79-275aa1ef5ea7	orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-1100x1100-imae6eadwjjd9fue.jpeg	http://img5a.flixcart.com/image/car-cradle/h/2/x/orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-1100x1100-imae6eadwjjd9fue.jpeg	t	14	2020-11-24 12:45:38.3654+00	NULL
47	f4319621-2e52-11eb-bc79-275aa1ef5ea7	orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-original-imae6eadwjjd9fue.jpeg	http://img5a.flixcart.com/image/car-cradle/h/2/x/orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-original-imae6eadwjjd9fue.jpeg	f	14	2020-11-24 12:45:38.3654+00	NULL
48	f4319622-2e52-11eb-bc79-275aa1ef5ea7	orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-original-imae6eadpkfj57ty.jpeg	http://img5a.flixcart.com/image/car-cradle/h/2/x/orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-original-imae6eadpkfj57ty.jpeg	f	14	2020-11-24 12:45:38.3654+00	NULL
49	f4319623-2e52-11eb-bc79-275aa1ef5ea7	orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-original-imae6eadkzexfynu.jpeg	http://img5a.flixcart.com/image/car-cradle/h/2/x/orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-original-imae6eadkzexfynu.jpeg	f	14	2020-11-24 12:45:38.3654+00	NULL
50	f4319624-2e52-11eb-bc79-275aa1ef5ea7	orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-original-imae6eadmymrubzu.jpeg	http://img6a.flixcart.com/image/car-cradle/h/2/x/orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-original-imae6eadmymrubzu.jpeg	f	14	2020-11-24 12:45:38.3654+00	NULL
51	f4319625-2e52-11eb-bc79-275aa1ef5ea7	orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-original-imae6eadjmv4krts.jpeg	http://img5a.flixcart.com/image/car-cradle/h/2/x/orientel-big-bird-mounth-double-cip-car-mount-holder-for-mobile-original-imae6eadjmv4krts.jpeg	f	14	2020-11-24 12:45:38.3654+00	NULL
52	f4319626-2e52-11eb-bc79-275aa1ef5ea7	vizio-car-mobile-stand-holder-original-imadzmj2ugvzem4x.jpeg	http://img6a.flixcart.com/image/car-cradle/y/q/z/vizio-car-mobile-stand-holder-original-imadzmj2ugvzem4x.jpeg	t	15	2020-11-24 12:45:38.3654+00	NULL
53	f4319627-2e52-11eb-bc79-275aa1ef5ea7	vizio-car-mobile-stand-holder-original-imadzmj2dadtrze7.jpeg	http://img6a.flixcart.com/image/car-cradle/y/q/z/vizio-car-mobile-stand-holder-original-imadzmj2dadtrze7.jpeg	f	15	2020-11-24 12:45:38.3654+00	NULL
54	f4319628-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zub86zhgh9w.jpeg	http://img6a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zub86zhgh9w.jpeg	t	16	2020-11-24 12:45:38.3654+00	NULL
55	f4319629-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zub86zhgh9w.jpeg	http://img5a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zub86zhgh9w.jpeg	f	16	2020-11-24 12:45:38.3654+00	NULL
56	f431962a-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zuazuf4fwxz.jpeg	http://img6a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zuazuf4fwxz.jpeg	f	16	2020-11-24 12:45:38.3654+00	NULL
57	f431962b-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zubnpywgyhb.jpeg	http://img5a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zubnpywgyhb.jpeg	f	16	2020-11-24 12:45:38.3654+00	NULL
58	f431962c-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zubvgbb6wvm.jpeg	http://img5a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zubvgbb6wvm.jpeg	f	16	2020-11-24 12:45:38.3654+00	NULL
59	f431962d-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zuav4zzfamu.jpeg	http://img6a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zuav4zzfamu.jpeg	f	16	2020-11-24 12:45:38.3654+00	NULL
60	f431962e-2e52-11eb-bc79-275aa1ef5ea7	fly-universal-mobile-holder-crystal-edition-for-car-windshield-400x400-imadrryqtwhynruz.jpeg	http://img5a.flixcart.com/image/car-cradle/z/4/2/fly-universal-mobile-holder-crystal-edition-for-car-windshield-400x400-imadrryqtwhynruz.jpeg	t	17	2020-11-24 12:45:38.3654+00	NULL
